shots,optimized_macro,optimized_overall,default_macro,default_overall,macro_diff,overall_diff
1,0.5868354639881186,0.6628212290502792,0.5788566078704317,0.6541201117318436,0.007978856117686894,0.008701117318435592
3,0.7627217521963113,0.8087535410764874,0.7240096183394339,0.776487252124646,0.03871213385687744,0.03226628895184147
5,0.8170178511301565,0.847227011494253,0.7870993708935698,0.8221982758620691,0.02991848023658661,0.025028735632183885
10,0.8764970447053021,0.889746646795827,0.8557116138978396,0.8729359165424739,0.020785430807462535,0.016810730253353112
25,0.9157651345781658,0.9179530201342283,0.9082701094080252,0.9066946308724833,0.007495025170140557,0.01125838926174505
35,0.9261885202918778,0.9267216117216117,0.9239566639029132,0.915879120879121,0.002231856388964615,0.01084249084249067
