shots,mean_macro,std_macro,ci95_macro,mean_overall,std_overall,ci95_overall,n_runs
1,0.5868354639881186,0.07624467002033207,0.014943955323985087,0.6628212290502792,0.11772319205487611,0.023073745642755716,100
3,0.6393821840315073,0.07369447801124146,0.014444117690203326,0.6731303116147308,0.08514732108620586,0.016688874932896346,100
5,0.6922636869323546,0.06231894155071479,0.012214512543940098,0.7177298850574715,0.06528228962528407,0.012795328766555678,100
10,0.7673078913056375,0.04756440723355214,0.00932262381777622,0.7846795827123697,0.046662580268261686,0.00914586573257929,100
25,0.8241712585316934,0.034872149051175826,0.0068349412140304615,0.8312583892617451,0.03269193217727874,0.006407618706746633,100
35,0.8362362087153055,0.03401071897304882,0.0066661009187175685,0.8372527472527475,0.02526834330318686,0.004952595287424625,100
