shots,mean_macro,std_macro,ci95_macro,mean_overall,std_overall,ci95_overall,n_runs
1,0.5868354639881186,0.07624467002033207,0.014943955323985087,0.6628212290502792,0.11772319205487611,0.023073745642755716,100
3,0.7346649075660422,0.055390153052736424,0.01085646999833634,0.783470254957507,0.046285241843403296,0.009071907401307045,100
5,0.7713279656009943,0.04623759850004328,0.009062569306008484,0.8141954022988505,0.03345696454673077,0.006557565051159231,100
10,0.8271571496290874,0.03127565476780797,0.006130028334490362,0.8563338301043218,0.02427116957403727,0.004757149236511305,100
25,0.8485071542995931,0.032167807721278974,0.006304890313370679,0.8791946308724832,0.020245495099706405,0.003968117039542455,100
35,0.8564317276546203,0.03385025723465918,0.0066346504179932,0.8859523809523812,0.01855552122999761,0.0036368821610795314,100
