shots,species,acc_mean,acc_std,acc_ci95,n_runs
1,Amblyomma americanum,0.35016260162601626,0.16279964537632907,0.0319087304937605,100
3,Amblyomma americanum,0.5849586776859504,0.18065554250723492,0.03540848633141804,100
5,Amblyomma americanum,0.6790756302521009,0.1531337430390842,0.030014213635660505,100
10,Amblyomma americanum,0.8325438596491226,0.08341462407026938,0.016349266317772795,100
25,Amblyomma americanum,0.8892929292929292,0.04921147183205677,0.009645448479083127,100
35,Amblyomma americanum,0.9010112359550564,0.04482150533354375,0.008785015045374576,100
1,Dermacentor variabilis,0.7764984227129338,0.25568051415952264,0.05011338077526643,100
3,Dermacentor variabilis,0.8376507936507938,0.09368735885415513,0.018362722335414406,100
5,Dermacentor variabilis,0.8510543130990414,0.0427477779747188,0.008378564483044883,100
10,Dermacentor variabilis,0.8679220779220781,0.03254902536720918,0.006379608971973,100
25,Dermacentor variabilis,0.8852901023890785,0.025860314017685817,0.00506862154746642,100
35,Dermacentor variabilis,0.8946643109540636,0.022865392718100383,0.004481616972747675,100
1,Haemaphysalis leporispalustris,0.5771153846153846,0.20405999178243994,0.039995758389358226,100
3,Haemaphysalis leporispalustris,0.7158,0.18602259013465017,0.03646042766639143,100
5,Haemaphysalis leporispalustris,0.785625,0.15472516341074052,0.030326132028505145,100
10,Haemaphysalis leporispalustris,0.8923255813953489,0.09566686393255905,0.01875070533078157,100
25,Haemaphysalis leporispalustris,0.957142857142857,0.03997009807926273,0.007834139223535494,100
35,Haemaphysalis leporispalustris,0.9633333333333334,0.04551187306460929,0.008920327120663422,100
1,Haemaphysalis longicornis,0.46588235294117647,0.18920657841895208,0.037084489370114604,100
3,Haemaphysalis longicornis,0.6195918367346939,0.2044630531763086,0.040074758422556485,100
5,Haemaphysalis longicornis,0.708085106382979,0.18656857689423237,0.036567441071269545,100
10,Haemaphysalis longicornis,0.7485714285714283,0.15109031348264135,0.029613701442597704,100
25,Haemaphysalis longicornis,0.8481481481481482,0.0862592705838011,0.016906817034425016,100
35,Haemaphysalis longicornis,0.8958823529411764,0.08013087404109726,0.01570565131205506,100
1,Ixodes scapularis,0.7246242774566476,0.2345435498655617,0.045970535773650095,100
3,Ixodes scapularis,0.8620467836257311,0.10794009852930933,0.021156259311744627,100
5,Ixodes scapularis,0.9116568047337278,0.06941035502671333,0.013604429585235812,100
10,Ixodes scapularis,0.9371951219512193,0.04619031769252649,0.00905330226773519,100
25,Ixodes scapularis,0.961476510067114,0.02501412882254764,0.004902769249219337,100
35,Ixodes scapularis,0.9648920863309354,0.021504594154276732,0.00421490045423824,100
