shots,mean_macro,std_macro,ci95_macro,mean_overall,std_overall,ci95_overall,n_runs
1,0.5868354639881186,0.07624467002033207,0.014943955323985087,0.6628212290502792,0.11772319205487611,0.023073745642755716,100
3,0.7627217521963113,0.054387732926080415,0.01065999565351176,0.8087535410764874,0.03780043314928514,0.007408884897259887,100
5,0.8170178511301565,0.04066137492321007,0.007969629484949173,0.847227011494253,0.02451523432620927,0.0048049859279370175,100
10,0.8764970447053021,0.02167545103089972,0.0042483884020563445,0.889746646795827,0.017667913233503023,0.003462910993766592,100
25,0.9157651345781658,0.015376329664467777,0.0030137606142356843,0.9179530201342283,0.01290767113974376,0.0025299035433897768,100
35,0.9261885202918778,0.018093851348582858,0.00354639486432224,0.9267216117216117,0.010180726924772999,0.001995422477255508,100
