shots,mean_macro,std_macro,ci95_macro,n_runs_macro,mean_overall,std_overall,ci95_overall,n_runs_overall
1,0.5502134061768317,0.06519228690278639,0.012777688232946132,100,0.5717532467532468,0.13399260173391903,0.02626254993984813,100
3,0.7142011093814616,0.04154604889573081,0.00814302558356324,100,0.7524668435013264,0.04494188204296378,0.0088086088804209,100
5,0.7840334622675021,0.032071237117554656,0.0062859624750407125,100,0.8041463414634147,0.02845001782711364,0.005576203494114273,100
10,0.8532820240870762,0.02298971656518314,0.004505984446775895,100,0.8505730659025788,0.021781283131080187,0.004269131493691717,100
20,0.8937616153472132,0.029243115689393247,0.005731650675121076,100,0.8795954692556635,0.01575405378196114,0.003087794541264383,100
