shots,mean_macro,std_macro,mean_overall,std_overall,n_runs
1,0.6383194369080145,0.1066354660840492,0.7518838028169015,0.11960456061426307,100
3,0.7395796679468848,0.05099744817624316,0.8149107142857143,0.04686729047437017,100
5,0.7777115427521681,0.043023831657033336,0.8342210144927535,0.035846004536864755,100
10,0.8352619283596067,0.030146535565594365,0.8683834586466165,0.024906926748482005,100
15,0.8659725613783992,0.02635149903350027,0.887109375,0.01802082649106543,100
24,0.8959118094601867,0.02520376446756383,0.9034663865546219,0.01753721609878885,100
