shots,mean_macro,std_macro,ci95_macro,mean_overall,std_overall,ci95_overall,n_runs
1,0.5887143336683723,0.07126009511974676,0.013966978643470365,0.6753072625698324,0.11295924503082812,0.02214001202604231,100
3,0.7622873697032821,0.05237993403694075,0.010266467071240386,0.8195184135977339,0.03385525627250892,0.006635630229411747,100
5,0.8186627066442191,0.040374327905010825,0.007913368269382121,0.8592097701149425,0.02285249351651261,0.004479088729236471,100
10,0.8830872066853049,0.020783818803732083,0.004073628485531488,0.8985245901639345,0.014934851605569645,0.0029272309146916504,100
25,0.9209751308307098,0.013216796065074483,0.0025904920287545988,0.9228187919463088,0.011216147246390513,0.0021983648602925407,100
35,0.9282075488801235,0.020858443642157772,0.004088254953862924,0.9287545787545788,0.010569373215720441,0.0020715971502812064,100
