shots,mean_macro,std_macro,ci95_macro,n_runs_macro,mean_overall,std_overall,ci95_overall,n_runs_overall
1,0.6032065782294722,0.08850341834892504,0.017346669996389306,100,0.6724441340782121,0.13666498709980604,0.026786337471561984,100
3,0.7452567276120248,0.04748632105001634,0.009307318925803203,100,0.7923654390934846,0.04374408488678614,0.008573840637810084,100
5,0.7987749523334942,0.03910448489572242,0.007664479039561595,100,0.8313362068965519,0.02948269510880301,0.0057786082413253895,100
10,0.8559396679834481,0.028334886627844988,0.005553637779057617,100,0.8733979135618479,0.017033556042526952,0.0033385769843352828,100
25,0.9013847304388226,0.017340184299994694,0.00339867612279896,100,0.9017953020134228,0.012312232790848483,0.002413197627006303,100
35,0.9129652598562751,0.017254322963927565,0.0033818473009298027,100,0.9088461538461542,0.010215148197696441,0.0020021690467485025,100
