species_true,n_total_rows,n_total_incorrect,n_total_correct,error_rate,most_confused_with,misclass_count,misclass_rate_within_true
Amblyomma americanum,66500,20720,45780,0.31157894736842107,Haemaphysalis longicornis,8640,0.1299248120300752
Dermacentor variabilis,182900,27271,155629,0.14910333515582286,Haemaphysalis longicornis,9091,0.04970475669764899
Haemaphysalis leporispalustris,23900,5298,18602,0.22167364016736402,Haemaphysalis longicornis,2608,0.1091213389121339
Haemaphysalis longicornis,23300,7603,15697,0.3263090128755365,Amblyomma americanum,3670,0.1575107296137339
Ixodes scapularis,96500,10708,85792,0.11096373056994818,Amblyomma americanum,5519,0.05719170984455958
