shots,mean_macro,std_macro,ci95_macro,n_runs_macro,mean_overall,std_overall,ci95_overall,n_runs_overall
1,0.5788566078704317,0.08360191089068579,0.016385974534574414,100,0.6541201117318436,0.13011846861775545,0.025503219849080064,100
3,0.7240096183394339,0.05162710677030119,0.010118912926979032,100,0.776487252124646,0.054211902271230954,0.010625532845161267,100
5,0.7870993708935698,0.041503265367628994,0.008134640012055282,100,0.8221982758620691,0.03015504509126217,0.005910388837887385,100
10,0.8557116138978396,0.03099805679270832,0.006075619131370831,100,0.8729359165424739,0.022423954488510322,0.004395095079748023,100
25,0.9082701094080252,0.01871372786814489,0.003667890662156398,100,0.9066946308724831,0.013913590533772086,0.0027270637446193285,100
35,0.9239566639029131,0.020198893756392364,0.003958983176252903,100,0.915879120879121,0.015040577503547434,0.002947953190695297,100
