sample_id,species_true,n_rows,n_correct,n_incorrect,incorrect_rate,most_common_wrong_pred,n_incorrect_to_most_common,mean_conf_to_most_common,mean_conf_overall,err_by_shot_1,err_by_shot_3,err_by_shot_5,err_by_shot_10,err_by_shot_25,err_by_shot_35,sex,life_stage,attached,dorsal_image_path,ventral_image_path
48-01,Amblyomma americanum,529,444,85,0.16068052930056712,Haemaphysalis longicornis,62,0.2402065208002893,0.5231209583825555,0.56,0.22916666666666666,0.07291666666666667,0.0,0.0,0.0,Female,Adult,,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/48-01-1.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/48-01-2.jpg
T19368,Haemaphysalis longicornis,430,361,69,0.16046511627906976,Haemaphysalis leporispalustris,36,0.25918276386321354,0.4696470745048607,0.46938775510204084,0.17582417582417584,0.07777777777777778,0.0,0.0,0.0,Female,Adult,,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T19368-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T19368-02.jpg
T15305,Amblyomma americanum,538,452,86,0.15985130111524162,Haemaphysalis leporispalustris,51,0.2644975577322629,0.5743627702537843,0.5050505050505051,0.2653061224489796,0.10416666666666667,0.0,0.0,0.0,,Nymph,No,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T15305-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T15305-02.jpg
T19371,Haemaphysalis longicornis,457,384,73,0.15973741794310722,Haemaphysalis leporispalustris,46,0.2600420788126225,0.566649230474535,0.47959183673469385,0.20430107526881722,0.06593406593406594,0.011904761904761904,0.0,0.0,Female,Adult,,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T19371-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T19371-02.jpg
258-01,Dermacentor variabilis,576,484,92,0.1597222222222222,Haemaphysalis longicornis,51,0.26213638734020756,0.43998577271727385,0.2828282828282828,0.2727272727272727,0.3163265306122449,0.0625,0.0,0.0,Female,Adult,,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/258-01-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/258-01-02.jpg
T19385,Haemaphysalis longicornis,439,369,70,0.15945330296127563,Haemaphysalis leporispalustris,40,0.25744198575728633,0.5504562236324684,0.47959183673469385,0.1836734693877551,0.04395604395604396,0.013157894736842105,0.0,0.0,Female,Adult,,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T19385-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T19385-02.jpg
48-02,Amblyomma americanum,530,447,83,0.15660377358490565,Haemaphysalis longicornis,56,0.24085648419501646,0.48536549767906995,0.5816326530612245,0.16666666666666666,0.10416666666666667,0.0,0.0,0.0,Male,Adult,,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/48-02-1.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/48-02-2.jpg
T17493,Haemaphysalis leporispalustris,452,382,70,0.15486725663716813,Amblyomma americanum,44,0.30722734899692694,0.5084878457458386,0.30612244897959184,0.20430107526881722,0.19318181818181818,0.04819277108433735,0.0,0.0,,Larva,"Yes, unknown length of time",/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T17493-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T17493-02.jpg
T19373,Haemaphysalis longicornis,462,391,71,0.15367965367965367,Haemaphysalis leporispalustris,45,0.2610962267831963,0.563463706848156,0.46938775510204084,0.19791666666666666,0.05319148936170213,0.011764705882352941,0.0,0.0,Female,Adult,,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T19373-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T19373-02.jpg
T19378,Haemaphysalis longicornis,449,380,69,0.15367483296213807,Haemaphysalis leporispalustris,35,0.2452684711277856,0.49518776558783795,0.5,0.15789473684210525,0.043478260869565216,0.012658227848101266,0.0,0.0,Female,Adult,,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T19378-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T19378-02.jpg
