sample_id,species_true,n_rows,n_correct,n_incorrect,incorrect_rate,most_common_wrong_pred,n_incorrect_to_most_common,mean_conf_to_most_common,mean_conf_overall,err_by_shot_1,err_by_shot_3,err_by_shot_5,err_by_shot_10,err_by_shot_25,err_by_shot_35,sex,life_stage,attached,dorsal_image_path,ventral_image_path
45-03,Ixodes scapularis,549,485,64,0.11657559198542805,Haemaphysalis longicornis,20,0.2312098035135744,0.38626876497945617,0.36,0.22448979591836735,0.06315789473684211,0.0,0.0,0.0,Female,Adult,,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/45-03-1.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/45-03-2.jpg
43-07,Dermacentor variabilis,570,504,66,0.11578947368421053,Haemaphysalis longicornis,39,0.24341043249141228,0.5415170149035005,0.36363636363636365,0.20408163265306123,0.08247422680412371,0.020833333333333332,0.0,0.0,Female,Adult,,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/43-07-1.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/43-07-2.jpg
54-04,Dermacentor variabilis,576,510,66,0.11458333333333333,Haemaphysalis longicornis,40,0.25087346496084256,0.53371894451907,0.37,0.17,0.08163265306122448,0.04040404040404041,0.0,0.0,Female,Adult,,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/54-04-1.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/54-04-2.jpg
339-01,Ixodes scapularis,561,497,64,0.1140819964349376,Dermacentor variabilis,53,0.25948610617148554,0.5269486817960323,0.37,0.22448979591836735,0.05319148936170213,0.0,0.0,0.0,Female,Adult,,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/339-01-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/339-01-02.jpg
235-01,Dermacentor variabilis,582,516,66,0.1134020618556701,Haemaphysalis longicornis,37,0.250655426822203,0.5067404118963574,0.39,0.21428571428571427,0.050505050505050504,0.01020408163265306,0.0,0.0,Male,Adult,,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/235-01-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/235-01-02.jpg
18-01,Ixodes scapularis,565,501,64,0.11327433628318584,Dermacentor variabilis,26,0.21606028931884594,0.5764741288306474,0.37,0.2268041237113402,0.04081632653061224,0.01020408163265306,0.0,0.0,Female,Adult,,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/18-01-1.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/18-01-2.jpg
466-01,Dermacentor variabilis,574,509,65,0.1132404181184669,Haemaphysalis longicornis,39,0.24674672763365776,0.509944126596444,0.35,0.2,0.0707070707070707,0.030612244897959183,0.0,0.0,Female,Adult,"Yes, unknown length of time",/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/466-01-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/466-01-02.jpg
55-08,Ixodes scapularis,549,487,62,0.11293260473588343,Haemaphysalis longicornis,25,0.2335076777508239,0.44413279981336207,0.32,0.21212121212121213,0.08602150537634409,0.010638297872340425,0.0,0.0,Male,Adult,,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/55-08-1.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/55-08-2.jpg
41-02,Ixodes scapularis,550,488,62,0.11272727272727273,Dermacentor variabilis,35,0.22227282743440988,0.530901077460957,0.4444444444444444,0.14,0.04040404040404041,0.0,0.0,0.0,Male,Adult,,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/41-02-1.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/41-02-2.jpg
156-01,Ixodes scapularis,560,497,63,0.1125,Haemaphysalis longicornis,23,0.248741017772633,0.44983106262379113,0.37,0.16161616161616163,0.10101010101010101,0.0,0.0,0.0,,Nymph,,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/156-01-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/156-01-02.jpg
