shots,run_id,overall_acc,macro_acc
1,0,0.3128491620111732,0.4058442584784185
1,1,0.3854748603351955,0.42330935463792707
1,2,0.4022346368715084,0.4174749534259564
1,3,0.5712290502793296,0.5624724096036833
1,4,0.6438547486033519,0.574344310227449
1,5,0.45670391061452514,0.4245410586066697
1,6,0.6396648044692738,0.5591243212847951
1,7,0.31843575418994413,0.4351323465264218
1,8,0.7178770949720671,0.5666891818501584
1,9,0.5363128491620112,0.5119984620178333
1,10,0.5321229050279329,0.5278778689916057
1,11,0.6745810055865922,0.5920900067501444
1,12,0.4483240223463687,0.3737319496734173
1,13,0.6731843575418994,0.594951035161829
1,14,0.7374301675977654,0.6429810075372869
1,15,0.7150837988826816,0.6190828759558414
1,16,0.6243016759776536,0.5326899263796127
1,17,0.6983240223463687,0.5300622892182234
1,18,0.4720670391061452,0.4086688643454169
1,19,0.35195530726256985,0.4451724458754643
1,20,0.5600558659217877,0.5449597909640358
1,21,0.5628491620111732,0.513075648732436
1,22,0.4622905027932961,0.40085412004808985
1,23,0.5181564245810056,0.4541533114379012
1,24,0.39664804469273746,0.4135324325605728
1,25,0.49162011173184356,0.4952777000743501
1,26,0.7206703910614525,0.6348668234444717
1,27,0.553072625698324,0.49122980185001086
1,28,0.4553072625698324,0.4847548419286354
1,29,0.31564245810055863,0.414827448989036
1,30,0.4748603351955307,0.4465606456420608
1,31,0.6494413407821229,0.49972671250074036
1,32,0.5391061452513967,0.539570166345444
1,33,0.590782122905028,0.457257159117262
1,34,0.38966480446927376,0.4277825706341799
1,35,0.5293296089385475,0.3953753638631275
1,36,0.2122905027932961,0.2716969795964878
1,37,0.43435754189944137,0.4640729950870677
1,38,0.5893854748603352,0.5409741542804447
1,39,0.4818435754189944,0.44505119411593136
1,40,0.6005586592178771,0.553296400868393
1,41,0.23044692737430167,0.30976681396282324
1,42,0.6480446927374302,0.608940495791178
1,43,0.6606145251396648,0.4921437945292704
1,44,0.3756983240223464,0.4845231167268552
1,45,0.5991620111731844,0.43687003740845587
1,46,0.5363128491620112,0.5311670486617772
1,47,0.5335195530726257,0.5058289910570851
1,48,0.5335195530726257,0.4516800860463328
1,49,0.34916201117318435,0.40585100732825696
1,50,0.31843575418994413,0.41032817440821984
1,51,0.7304469273743017,0.646014562076369
1,52,0.6703910614525139,0.5626332800995397
1,53,0.7011173184357542,0.5975408630202951
1,54,0.6620111731843575,0.49983553196898906
1,55,0.5502793296089385,0.44930616127843476
1,56,0.7304469273743017,0.612314020722861
1,57,0.6368715083798883,0.5696543272425024
1,58,0.6368715083798883,0.5353888201606283
1,59,0.44553072625698326,0.4240386579589841
1,60,0.659217877094972,0.5030921412006883
1,61,0.41899441340782123,0.3965745372393029
1,62,0.24441340782122906,0.3430807830248647
1,63,0.5865921787709497,0.4965866205435157
1,64,0.30446927374301674,0.29735311495224337
1,65,0.5991620111731844,0.623596262225506
1,66,0.41201117318435754,0.4521031817382397
1,67,0.6508379888268156,0.5267996282387802
1,68,0.7318435754189944,0.5894819387578866
1,69,0.5237430167597765,0.39685735133095584
1,70,0.6689944134078212,0.586684827772747
1,71,0.49441340782122906,0.47788786233114805
1,72,0.5977653631284916,0.46824293712569165
1,73,0.6773743016759777,0.6008295787942449
1,74,0.4776536312849162,0.4728113686683102
1,75,0.5991620111731844,0.47948311594276294
1,76,0.6438547486033519,0.5750508535541893
1,77,0.2877094972067039,0.3461656142796341
1,78,0.6508379888268156,0.5483151135283318
1,79,0.6103351955307262,0.48065228219972955
1,80,0.473463687150838,0.45120406489703074
1,81,0.34497206703910616,0.3910043293360559
1,82,0.5740223463687151,0.5858711262970876
1,83,0.5977653631284916,0.5392924259992268
1,84,0.5363128491620112,0.42453116779989797
1,85,0.6145251396648045,0.5588371277659538
1,86,0.6899441340782123,0.5706051627267079
1,87,0.4790502793296089,0.47707587956231234
1,88,0.6829608938547486,0.6172848467016985
1,89,0.6019553072625698,0.5576767194242346
1,90,0.3952513966480447,0.39582412387308874
1,91,0.6508379888268156,0.5402987986252381
1,92,0.45670391061452514,0.4782041667717401
1,93,0.6410614525139665,0.5868694581670599
1,94,0.7248603351955307,0.5815080689336007
1,95,0.7067039106145251,0.5927566025783052
1,96,0.5712290502793296,0.5146291159636667
1,97,0.42178770949720673,0.4945719376669741
1,98,0.31843575418994413,0.3569547331596453
1,99,0.6731843575418994,0.5445336746305476
3,0,0.6444759206798867,0.621271794204125
3,1,0.7337110481586402,0.5665501810409534
3,2,0.7648725212464589,0.7098816068112035
3,3,0.6912181303116147,0.6433816023727166
3,4,0.7209631728045326,0.7005160559801709
3,5,0.6798866855524079,0.6491084736634976
3,6,0.6288951841359773,0.6173582914389476
3,7,0.6402266288951841,0.5953346964420102
3,8,0.6288951841359773,0.6746252368425985
3,9,0.7110481586402266,0.7034001453851078
3,10,0.6827195467422096,0.6633788367021449
3,11,0.8016997167138811,0.7127085758473318
3,12,0.7662889518413598,0.681789739993431
3,13,0.6260623229461756,0.5630548587130952
3,14,0.7535410764872521,0.6770633352369512
3,15,0.6501416430594901,0.5901178605703554
3,16,0.7379603399433428,0.6598810603841363
3,17,0.7011331444759207,0.5966020995029881
3,18,0.6968838526912181,0.6640891248191316
3,19,0.7138810198300283,0.5588905321154125
3,20,0.7478753541076487,0.654547778339986
3,21,0.7705382436260623,0.6679683821912119
3,22,0.6444759206798867,0.6131650535232216
3,23,0.7521246458923513,0.6596357047676256
3,24,0.6657223796033994,0.635979172646295
3,25,0.6813031161473088,0.6583183776047754
3,26,0.7237960339943342,0.6479855206690477
3,27,0.6515580736543909,0.6154886823512934
3,28,0.6784702549575071,0.6448563912733427
3,29,0.7818696883852692,0.732127646941044
3,30,0.6898016997167139,0.6425267537201919
3,31,0.7294617563739377,0.6498035762369323
3,32,0.6813031161473088,0.6549776842736514
3,33,0.6558073654390935,0.6758293963953568
3,34,0.7110481586402266,0.6141064664810393
3,35,0.7747875354107648,0.6999718974729228
3,36,0.7492917847025495,0.6323024207508144
3,37,0.7096317280453258,0.6787190763212636
3,38,0.6671388101983002,0.6096057735839008
3,39,0.7223796033994334,0.6645846769619839
3,40,0.7946175637393768,0.6883075970129969
3,41,0.7620396600566572,0.70839588542391
3,42,0.7719546742209632,0.7008869438452487
3,43,0.6968838526912181,0.7186311469346329
3,44,0.6147308781869688,0.6175879131121784
3,45,0.7705382436260623,0.6907062106269215
3,46,0.773371104815864,0.7133649353608342
3,47,0.39943342776203966,0.4876419738839425
3,48,0.7280453257790368,0.6442783779598544
3,49,0.6671388101983002,0.5956234466528383
3,50,0.8215297450424929,0.732955284709215
3,51,0.7478753541076487,0.6625142549407758
3,52,0.7252124645892352,0.6878491742934668
3,53,0.6643059490084986,0.6009504398540625
3,54,0.6869688385269122,0.5901088573460412
3,55,0.6983002832861189,0.6236557272756863
3,56,0.7422096317280453,0.6660117077423982
3,57,0.5892351274787535,0.6373488581745588
3,58,0.7507082152974505,0.7414340416172268
3,59,0.7464589235127479,0.7242210327077039
3,60,0.42492917847025496,0.49725857737614404
3,61,0.7209631728045326,0.6732355169703086
3,62,0.6968838526912181,0.6146433458695932
3,63,0.6983002832861189,0.6730308060588307
3,64,0.7407932011331445,0.6456019663483777
