shots,species,acc_mean,acc_std,acc_ci95,n_runs
1,Amblyomma americanum,0.2667479674796748,0.14151095719034149,0.02773614760930693,100
3,Amblyomma americanum,0.4897520661157025,0.17030384781064878,0.033379554170887164,100
5,Amblyomma americanum,0.5862184873949579,0.15031497664598514,0.02946173542261309,100
10,Amblyomma americanum,0.7523684210526317,0.08860842144248474,0.017367250602727008,100
25,Amblyomma americanum,0.8519191919191917,0.046148608242981046,0.009045127215624286,100
35,Amblyomma americanum,0.8653932584269661,0.05179777865913855,0.010152364617191156,100
1,Dermacentor variabilis,0.6077917981072555,0.2641468641662393,0.0517727853765829,100
3,Dermacentor variabilis,0.7438095238095238,0.14228306435834365,0.027887480614235353,100
5,Dermacentor variabilis,0.7940575079872204,0.0722883873536824,0.01416852392132175,100
10,Dermacentor variabilis,0.8232792207792208,0.05951621539335126,0.011665178217096846,100
25,Dermacentor variabilis,0.8534470989761093,0.03550117820188571,0.0069582309275695985,100
35,Dermacentor variabilis,0.8700706713780917,0.02907726647300456,0.005699144228708894,100
1,Haemaphysalis leporispalustris,0.5244230769230771,0.1924213921845046,0.0377145928681629,100
3,Haemaphysalis leporispalustris,0.6514,0.1790717930627464,0.03509807144029829,100
5,Haemaphysalis leporispalustris,0.69375,0.16673241548245812,0.03267955343456179,100
10,Haemaphysalis leporispalustris,0.8162790697674417,0.12347921656578024,0.024201926446892928,100
25,Haemaphysalis leporispalustris,0.9471428571428571,0.04637998345610507,0.009090476757396593,100
35,Haemaphysalis leporispalustris,0.9766666666666667,0.03882871727789967,0.007610428586468335,100
1,Haemaphysalis longicornis,0.4288235294117647,0.18944318910414573,0.03713086506441256,100
3,Haemaphysalis longicornis,0.5469387755102041,0.20779956991404722,0.04072871570315325,100
5,Haemaphysalis longicornis,0.6538297872340426,0.15788865227678905,0.030946175846250656,100
10,Haemaphysalis longicornis,0.6830952380952381,0.13497134264839686,0.026454383159085784,100
25,Haemaphysalis longicornis,0.757037037037037,0.08574694002066834,0.016806400244050994,100
35,Haemaphysalis longicornis,0.8041176470588234,0.11250031553476346,0.022050061844813635,100
1,Ixodes scapularis,0.6468208092485548,0.26521410540685775,0.05198196465974412,100
3,Ixodes scapularis,0.8164327485380117,0.12074873755952586,0.02366675256166707,100
5,Ixodes scapularis,0.8849704142011835,0.07575477256135375,0.014847935422025336,100
10,Ixodes scapularis,0.9129878048780488,0.0476026106289192,0.009330111683268163,100
25,Ixodes scapularis,0.9330201342281879,0.027265712096104764,0.005344079570836533,100
35,Ixodes scapularis,0.9372661870503596,0.02535995059417401,0.004970550316458106,100
