shots,mean_macro,std_macro,ci95_macro,mean_overall,std_overall,ci95_overall,n_runs
1,0.5868354639881186,0.07624467002033207,0.014943955323985087,0.6628212290502792,0.11772319205487611,0.023073745642755716,100
3,0.7361796791861589,0.05521801443857447,0.010822730829960596,0.7839943342776204,0.04650662809080611,0.009115299105797997,100
5,0.7861712093349023,0.0428936488990414,0.008407155184212114,0.823721264367816,0.02858553551758916,0.005602764961447475,100
10,0.8622735727965302,0.023095102857098163,0.004526640159991239,0.8747242921013411,0.019792579484093256,0.0038793455788822782,100
25,0.9080700376452261,0.01817620960005841,0.0035625370816114487,0.9078355704697987,0.015305956670562074,0.0029999675074301665,100
35,0.9227795455488784,0.020197768834764367,0.003958762691613816,0.9166483516483517,0.013827523343791994,0.0027101945753832306,100
