shots,mean_macro,std_macro,ci95_macro,mean_overall,std_overall,ci95_overall,n_runs
1,0.5868354639881186,0.07624467002033207,0.014943955323985087,0.6628212290502792,0.11772319205487611,0.023073745642755716,100
3,0.7575951700581639,0.05549226372299396,0.010876483689706815,0.8054249291784703,0.039127959852283255,0.0076690801310475174,100
5,0.8109883217009881,0.04198601028714203,0.008229258016279838,0.8431752873563216,0.02516937367758455,0.004933197240806571,100
10,0.8771666209818882,0.019970193737154796,0.00391415797248234,0.8884053651266766,0.016601207788883087,0.003253836726621085,100
25,0.9149241654875229,0.015975635921117108,0.0031312246405389528,0.9162248322147651,0.012561003294227269,0.0024619566456685446,100
35,0.9270931700369178,0.018997908152127246,0.0037235899978169404,0.9252564102564104,0.00984985896152053,0.0019305723564580237,100
