shots,mean_macro,std_macro,ci95_macro,n_runs_macro,mean_overall,std_overall,ci95_overall,n_runs_overall
1,0.7449972909435645,0.10341069716798747,0.020268496644925544,100,0.7920419847328243,0.11587024123989653,0.02271056728301972,100
3,0.8680039731110724,0.057358409415798214,0.011242248245496451,100,0.8745559845559845,0.04998334692052385,0.009796735996422674,100
5,0.9017398932331379,0.039242549603140754,0.007691539722215587,100,0.89744140625,0.034995307772973196,0.006859080323502746,100
10,0.9398058819487392,0.014955970266089046,0.002931370172153453,100,0.9258953722334003,0.021389684453669296,0.004192378152919183,100
25,0.9565823888404533,0.010375118759637885,0.0020335232768890254,100,0.9428097345132744,0.01448330541651809,0.0028387278616375457,100
