shots,species,acc_mean,acc_std,acc_ci95,n_runs
1,Amblyomma americanum,0.646046511627907,0.1875476787361939,0.03675934503229401,100
3,Amblyomma americanum,0.8791666666666664,0.14128904282819638,0.027692652394326486,100
5,Amblyomma americanum,0.9189024390243903,0.11321736971325518,0.022190604463798013,100
10,Amblyomma americanum,0.9696103896103897,0.032511841731430076,0.006372320979360295,100
25,Amblyomma americanum,0.985483870967742,0.01965392889822394,0.003852170064051892,100
1,Dermacentor variabilis,0.8628712871287127,0.18903531154908332,0.037050921063620325,100
3,Dermacentor variabilis,0.8914617940199335,0.055628225578057106,0.010903132213299194,100
5,Dermacentor variabilis,0.8936454849498329,0.046257085989000586,0.009066388853844115,100
10,Dermacentor variabilis,0.90734693877551,0.035019550584808,0.006863831914622367,100
25,Dermacentor variabilis,0.9279569892473118,0.021938484129816038,0.004299942889443943,100
1,Ixodes scapularis,0.726074074074074,0.23556637865805508,0.046171010216978794,100
3,Ixodes scapularis,0.8333834586466167,0.15838301108244868,0.031043070172159938,100
5,Ixodes scapularis,0.892671755725191,0.10059931456800504,0.01971746565532899,100
10,Ixodes scapularis,0.9424603174603174,0.04136062276444855,0.008106682061831915,100
25,Ixodes scapularis,0.9563063063063063,0.024476191133778677,0.00479733346222062,100
