shots,run_id,overall_acc,macro_acc
1,0,0.7426597582037997,0.6378317721030131
1,1,0.697754749568221,0.6322083947043653
1,2,0.8307426597582038,0.5467672847018921
1,3,0.7944732297063903,0.765435335338628
1,4,0.5509499136442142,0.4113709466184714
1,5,0.6770293609671848,0.5439755149379832
1,6,0.7582037996545768,0.5422298608598402
1,7,0.7754749568221071,0.6275306489674438
1,8,0.7616580310880829,0.7017024415619856
1,9,0.8013816925734024,0.6556392638156396
1,10,0.7219343696027634,0.605767329778382
1,11,0.5474956822107081,0.5222557615672974
1,12,0.7651122625215889,0.6445157871268854
1,13,0.7530224525043178,0.5901524925471506
1,14,0.5837651122625216,0.5491921683862738
1,15,0.7599309153713298,0.6016231191225435
1,16,0.8134715025906736,0.6482217324722506
1,17,0.7633851468048359,0.688061808395679
1,18,0.697754749568221,0.6351771201483383
1,19,0.6096718480138169,0.4961525022934187
1,20,0.7858376511226253,0.70677492333951
1,21,0.770293609671848,0.5736667044334556
1,22,0.7633851468048359,0.6683247748916641
1,23,0.7823834196891192,0.5611482809410508
1,24,0.8013816925734024,0.7034028485905068
1,25,0.8238341968911918,0.6662733925662777
1,26,0.7167530224525043,0.58794301357046
1,27,0.30915371329879104,0.4385540436657177
1,28,0.6200345423143351,0.6143189734255817
1,29,0.7564766839378239,0.6159173492100041
1,30,0.8203799654576857,0.7589533848179946
1,31,0.5716753022452504,0.5236295102378454
1,32,0.7478411053540587,0.652684828837258
1,33,0.6925734024179621,0.649197212080012
1,34,0.6597582037996546,0.6374263638988483
1,35,0.7115716753022453,0.6307677866346989
1,36,0.7288428324697754,0.5707304949764079
1,37,0.7530224525043178,0.48708811966467963
1,38,0.8221070811744386,0.7327247641707693
1,39,0.8549222797927462,0.7157234715719634
1,40,0.7668393782383419,0.6931970805053927
1,41,0.7547495682210709,0.6533544461865899
1,42,0.6770293609671848,0.5996519120350573
1,43,0.8100172711571675,0.7067590856538588
1,44,0.21243523316062177,0.41018784713465806
1,45,0.616580310880829,0.4950756493146546
1,46,0.7512953367875648,0.6319548089914196
1,47,0.8186528497409327,0.7182369122848055
1,48,0.5561312607944733,0.5517988930676013
1,49,0.48704663212435234,0.5036531449379711
1,50,0.7858376511226253,0.6044254879530035
1,51,0.5215889464594128,0.5897249237659092
1,52,0.7789291882556131,0.6758543152211124
1,53,0.6407599309153713,0.5896492318113318
1,54,0.7875647668393783,0.6514937252307733
1,55,0.7219343696027634,0.5251385005610196
1,56,0.7858376511226253,0.646165306453126
1,57,0.7374784110535406,0.5973081538497149
1,58,0.7564766839378239,0.643164101570733
1,59,0.7374784110535406,0.5489693199663266
1,60,0.7616580310880829,0.6734062841500097
1,61,0.7150259067357513,0.6617326793587444
1,62,0.6407599309153713,0.5329510481502193
1,63,0.7616580310880829,0.6173424850790726
1,64,0.8290155440414507,0.6959039724570463
1,65,0.5474956822107081,0.5720305496773376
1,66,0.7374784110535406,0.6290222300192367
1,67,0.768566493955095,0.5882705369097264
1,68,0.6563039723661486,0.5704504237799195
1,69,0.5785837651122625,0.5253756028980529
1,70,0.7927461139896373,0.7300774950141747
1,71,0.6753022452504318,0.5272296598430607
1,72,0.7530224525043178,0.713982398239824
1,73,0.7253886010362695,0.6806504537496939
1,74,0.8290155440414507,0.7485274850851641
1,75,0.687392055267703,0.5800020223506293
1,76,0.8065630397236615,0.6661056714752316
1,77,0.7754749568221071,0.6714172535747484
1,78,0.8307426597582038,0.7695823480465432
1,79,0.8151986183074266,0.7480938248863647
1,80,0.6839378238341969,0.5199507935289652
1,81,0.7737478411053541,0.7131170392786788
1,82,0.7616580310880829,0.6834838766268654
1,83,0.43005181347150256,0.3419833899226024
1,84,0.7910189982728842,0.7416900394358372
1,85,0.8013816925734024,0.6614955282903706
1,86,0.8307426597582038,0.7562201413939844
1,87,0.6027633851468048,0.5659272051236132
1,88,0.35751295336787564,0.5825445069423886
1,89,0.8031088082901554,0.6548443216414664
1,90,0.7202072538860104,0.6094192564328416
1,91,0.7478411053540587,0.5287288673496364
