shots,mean_macro,std_macro,ci95_macro,mean_overall,std_overall,ci95_overall,n_runs
1,0.5868354639881186,0.07624467002033207,0.014943955323985087,0.6628212290502792,0.11772319205487611,0.023073745642755716,100
3,0.7527278947467053,0.05461219750163722,0.010703990710320894,0.7967563739376772,0.04234409656395044,0.008299442926534286,100
5,0.8088517723366785,0.041779207366099684,0.008188724643755538,0.8392385057471264,0.025419585537272246,0.00498223876530536,100
10,0.8773482740652487,0.022258721391218726,0.00436270939267887,0.8867660208643815,0.018304057626864507,0.0035875952948654435,100
25,0.9210147227937386,0.0165101850485961,0.0032359962695248353,0.9191275167785234,0.013876968986148784,0.002719885921285162,100
35,0.9321605528204867,0.018003089302362652,0.00352860550326308,0.927820512820513,0.012190835757047352,0.002389403808381281,100
