species_true,species_pred,count,true_total,rate_within_true
Amblyomma americanum,Amblyomma americanum,35029,58100,0.602908777969019
Amblyomma americanum,Amblyomma maculatum,2559,58100,0.0440447504302926
Amblyomma americanum,Dermacentor variabilis,1320,58100,0.022719449225473323
Amblyomma americanum,Haemaphysalis leporispalustris,6951,58100,0.11963855421686748
Amblyomma americanum,Haemaphysalis longicornis,6336,58100,0.10905335628227195
Amblyomma americanum,Ixodes cookei,2358,58100,0.04058519793459552
Amblyomma americanum,Ixodes dentatus,2372,58100,0.04082616179001721
Amblyomma americanum,Ixodes scapularis,1175,58100,0.020223752151462996
Amblyomma maculatum,Amblyomma americanum,153,9100,0.016813186813186814
Amblyomma maculatum,Amblyomma maculatum,8413,9100,0.9245054945054945
Amblyomma maculatum,Dermacentor variabilis,280,9100,0.03076923076923077
Amblyomma maculatum,Haemaphysalis leporispalustris,55,9100,0.006043956043956044
Amblyomma maculatum,Haemaphysalis longicornis,83,9100,0.009120879120879121
Amblyomma maculatum,Ixodes cookei,77,9100,0.008461538461538461
Amblyomma maculatum,Ixodes dentatus,1,9100,0.00010989010989010989
Amblyomma maculatum,Ixodes scapularis,38,9100,0.004175824175824176
Dermacentor variabilis,Amblyomma americanum,6531,155100,0.042108317214700194
Dermacentor variabilis,Amblyomma maculatum,4364,155100,0.028136686009026433
Dermacentor variabilis,Dermacentor variabilis,129513,155100,0.8350290135396519
Dermacentor variabilis,Haemaphysalis leporispalustris,4155,155100,0.02678916827852998
Dermacentor variabilis,Haemaphysalis longicornis,5703,155100,0.036769825918762086
Dermacentor variabilis,Ixodes cookei,1430,155100,0.009219858156028368
Dermacentor variabilis,Ixodes dentatus,378,155100,0.002437137330754352
Dermacentor variabilis,Ixodes scapularis,3026,155100,0.019509993552546744
Haemaphysalis leporispalustris,Amblyomma americanum,1833,22600,0.08110619469026549
Haemaphysalis leporispalustris,Amblyomma maculatum,356,22600,0.01575221238938053
Haemaphysalis leporispalustris,Dermacentor variabilis,109,22600,0.004823008849557522
Haemaphysalis leporispalustris,Haemaphysalis leporispalustris,16701,22600,0.7389823008849558
Haemaphysalis leporispalustris,Haemaphysalis longicornis,2183,22600,0.0965929203539823
Haemaphysalis leporispalustris,Ixodes cookei,903,22600,0.03995575221238938
Haemaphysalis leporispalustris,Ixodes dentatus,509,22600,0.02252212389380531
Haemaphysalis leporispalustris,Ixodes scapularis,6,22600,0.00026548672566371683
Haemaphysalis longicornis,Amblyomma americanum,3137,22100,0.14194570135746606
Haemaphysalis longicornis,Amblyomma maculatum,337,22100,0.015248868778280543
Haemaphysalis longicornis,Dermacentor variabilis,680,22100,0.03076923076923077
Haemaphysalis longicornis,Haemaphysalis leporispalustris,1801,22100,0.08149321266968326
Haemaphysalis longicornis,Haemaphysalis longicornis,14535,22100,0.6576923076923077
Haemaphysalis longicornis,Ixodes cookei,1096,22100,0.049592760180995475
Haemaphysalis longicornis,Ixodes dentatus,176,22100,0.007963800904977376
Haemaphysalis longicornis,Ixodes scapularis,338,22100,0.015294117647058824
Ixodes cookei,Amblyomma americanum,722,20600,0.03504854368932039
Ixodes cookei,Amblyomma maculatum,78,20600,0.0037864077669902915
Ixodes cookei,Dermacentor variabilis,96,20600,0.004660194174757282
Ixodes cookei,Haemaphysalis leporispalustris,1647,20600,0.07995145631067961
Ixodes cookei,Haemaphysalis longicornis,811,20600,0.03936893203883495
Ixodes cookei,Ixodes cookei,14626,20600,0.71
Ixodes cookei,Ixodes dentatus,1944,20600,0.09436893203883495
Ixodes cookei,Ixodes scapularis,676,20600,0.032815533980582526
Ixodes dentatus,Amblyomma americanum,245,8600,0.028488372093023257
Ixodes dentatus,Amblyomma maculatum,4,8600,0.00046511627906976747
Ixodes dentatus,Dermacentor variabilis,16,8600,0.0018604651162790699
Ixodes dentatus,Haemaphysalis leporispalustris,661,8600,0.07686046511627907
Ixodes dentatus,Haemaphysalis longicornis,154,8600,0.017906976744186048
Ixodes dentatus,Ixodes cookei,706,8600,0.08209302325581395
Ixodes dentatus,Ixodes dentatus,6672,8600,0.7758139534883721
Ixodes dentatus,Ixodes scapularis,142,8600,0.016511627906976745
Ixodes scapularis,Amblyomma americanum,3532,83100,0.04250300842358604
Ixodes scapularis,Amblyomma maculatum,148,83100,0.0017809867629362214
Ixodes scapularis,Dermacentor variabilis,1541,83100,0.018543922984356198
Ixodes scapularis,Haemaphysalis leporispalustris,292,83100,0.0035138387484957884
Ixodes scapularis,Haemaphysalis longicornis,1229,83100,0.014789410348977136
Ixodes scapularis,Ixodes cookei,3254,83100,0.03915764139590854
Ixodes scapularis,Ixodes dentatus,4089,83100,0.0492057761732852
Ixodes scapularis,Ixodes scapularis,69015,83100,0.8305054151624549
