shots,species,acc_mean,acc_std,acc_ci95,n_runs
1,Amblyomma americanum,0.2309756097560976,0.12459746968042261,0.024421104057362832,100
3,Amblyomma americanum,0.46280991735537186,0.1617237952572656,0.03169786387042406,100
5,Amblyomma americanum,0.606890756302521,0.11513178139102699,0.022565829152641288,100
10,Amblyomma americanum,0.7274561403508774,0.08225261529872346,0.016121512598549798,100
20,Amblyomma americanum,0.7960576923076924,0.058052086545242194,0.01137820896286747,100
1,Amblyomma maculatum,0.8864,0.17511623845234045,0.03432278273665873,100
3,Amblyomma maculatum,0.9004347826086958,0.0931675136455844,0.018260832674534544,100
5,Amblyomma maculatum,0.9304761904761903,0.05261001992382842,0.01031156390507037,100
10,Amblyomma maculatum,0.959375,0.03910193716299731,0.007663979683947474,100
20,Amblyomma maculatum,0.9699999999999999,0.06435381994422817,0.012613348709068722,100
1,Dermacentor variabilis,0.7135849056603774,0.2765387933926929,0.054201603504967805,100
3,Dermacentor variabilis,0.8434493670886077,0.052917728098600236,0.010371874707325646,100
5,Dermacentor variabilis,0.8490764331210191,0.041693215927165475,0.008171870321724433,100
10,Dermacentor variabilis,0.8525242718446602,0.031454878638111625,0.006165156213069878,100
20,Dermacentor variabilis,0.8676254180602007,0.020873726997220753,0.004091250491455267,100
1,Haemaphysalis leporispalustris,0.5042307692307691,0.1731218106343483,0.03393187488433227,100
3,Haemaphysalis leporispalustris,0.7069999999999999,0.19516116106407747,0.03825158756855918,100
5,Haemaphysalis leporispalustris,0.7618749999999997,0.1495660752731549,0.02931495075353836,100
10,Haemaphysalis leporispalustris,0.8841860465116278,0.11223797742418157,0.021998643575139587,100
20,Haemaphysalis leporispalustris,0.945151515151515,0.04551979807683244,0.008921880423059159,100
1,Haemaphysalis longicornis,0.3842857142857143,0.21561157880996173,0.042259869446752495,100
3,Haemaphysalis longicornis,0.6434615384615384,0.1801399219741505,0.035307424706933495,100
5,Haemaphysalis longicornis,0.7324999999999998,0.1631768473211917,0.03198266207495357,100
10,Haemaphysalis longicornis,0.8068421052631578,0.1300130103453555,0.02548255002768968,100
20,Haemaphysalis longicornis,0.8577777777777779,0.1611159486869996,0.03157872594265192,100
1,Ixodes cookei,0.5033333333333334,0.21839166424520748,0.04280476619206067,100
3,Ixodes cookei,0.6055999999999999,0.16000202018926657,0.03136039595709625,100
5,Ixodes cookei,0.6813043478260868,0.111072819966367,0.021770272713407934,100
10,Ixodes cookei,0.7588888888888888,0.08176412563543865,0.016025768624545977,100
20,Ixodes cookei,0.785,0.13540064007726602,0.026538525455144138,100
1,Ixodes dentatus,0.6158333333333333,0.2019284829672267,0.03957798266157643,100
3,Ixodes dentatus,0.7268181818181816,0.20435354735904038,0.04005329528237191,100
5,Ixodes dentatus,0.8305000000000001,0.15372397537814525,0.03012989917411647,100
10,Ixodes dentatus,0.9146666666666667,0.10554970744033704,0.020687742658306058,100
20,Ixodes dentatus,0.9840000000000001,0.08844332774281068,0.017334892237590892,100
1,Ixodes scapularis,0.5630635838150289,0.2598463603298009,0.05092988662464097,100
3,Ixodes scapularis,0.8240350877192981,0.11819915268246278,0.023167033925762703,100
5,Ixodes scapularis,0.8796449704142009,0.07688499905813694,0.015069459815394839,100
10,Ixodes scapularis,0.9223170731707316,0.04847635543391981,0.009501365665048283,100
20,Ixodes scapularis,0.9444805194805196,0.03310247569044454,0.0064880852353271295,100
