shots,mean_macro,std_macro,ci95_macro,n_runs_macro,mean_overall,std_overall,ci95_overall,n_runs_overall
1,0.563880812884799,0.06016828846601562,0.011792984539339062,100,0.6039898348157561,0.1005661899023163,0.019710973220853995,100
3,0.6986086035083906,0.04200265403084282,0.008232520190045193,100,0.735875486381323,0.038577410614468594,0.0075611724804358444,100
5,0.7700115147845032,0.03329672862434354,0.006526158810371334,100,0.7907682119205299,0.02752893354605695,0.005395670975027162,100
10,0.8455588744090625,0.02538265444365934,0.00497500027095723,100,0.8398461538461539,0.021533943084784256,0.0042206528446177135,100
20,0.8915125213149103,0.02329379097800218,0.004565583031688427,100,0.8715905511811022,0.015242699594967032,0.002987569120613538,100
