species_true,n_total_rows,n_total_incorrect,n_total_correct,error_rate,most_confused_with,misclass_count,misclass_rate_within_true
Amblyomma americanum,39600,13037,26563,0.32921717171717174,Haemaphysalis longicornis,8581,0.21669191919191919
Dermacentor variabilis,147600,16164,131436,0.10951219512195122,Haemaphysalis longicornis,8442,0.057195121951219514
Haemaphysalis longicornis,10600,3701,6899,0.34915094339622643,Amblyomma americanum,2235,0.2108490566037736
Ixodes cookei,10100,2182,7918,0.21603960396039604,Haemaphysalis longicornis,1120,0.11089108910891089
Ixodes scapularis,64100,11078,53022,0.17282371294851795,Ixodes cookei,3380,0.05273010920436817
