shots,species,acc_mean,acc_std,acc_ci95,n_runs
1,Amblyomma americanum,0.4386046511627907,0.16564397705639863,0.03246621950305413,100
3,Amblyomma americanum,0.6498809523809524,0.17774858520108708,0.034838722699413065,100
5,Amblyomma americanum,0.6954878048780487,0.1536373691509414,0.03011292435358451,100
10,Amblyomma americanum,0.7797402597402597,0.07538662201461489,0.01477577791486452,100
20,Amblyomma americanum,0.8395522388059703,0.07166989624099888,0.014047299663235781,100
1,Dermacentor variabilis,0.8670529801324506,0.16613412400332342,0.03256228830465139,100
3,Dermacentor variabilis,0.8857,0.06144225250442124,0.012042681490866562,100
5,Dermacentor variabilis,0.8876845637583892,0.03976664884470099,0.0077942631735613945,100
10,Dermacentor variabilis,0.9026279863481228,0.028216944408631327,0.0055305211040917405,100
20,Dermacentor variabilis,0.9109540636042404,0.020357748591246987,0.003990118723884409,100
1,Haemaphysalis longicornis,0.48,0.22912316166574895,0.04490813968648679,100
3,Haemaphysalis longicornis,0.6507692307692308,0.19363797852290227,0.03795304379048885,100
5,Haemaphysalis longicornis,0.6666666666666667,0.20161733820834388,0.0395169982888354,100
10,Haemaphysalis longicornis,0.7794736842105263,0.14461137087234452,0.028343828690979525,100
20,Haemaphysalis longicornis,0.8688888888888888,0.12866887836374408,0.02521910015929384,100
1,Ixodes cookei,0.6796296296296296,0.25548397637746756,0.05007485936998364,100
3,Ixodes cookei,0.7315999999999999,0.17608950891951272,0.03451354374822449,100
5,Ixodes cookei,0.8500000000000001,0.08791196660399064,0.017230745454382166,100
10,Ixodes cookei,0.8849999999999999,0.06985233744131766,0.013691058138498262,100
20,Ixodes cookei,0.8825,0.10022071601815624,0.019643260339558623,100
1,Ixodes scapularis,0.6442962962962965,0.24796405051020926,0.048600953900001014,100
3,Ixodes scapularis,0.8005263157894738,0.151979206680035,0.02978792450928686,100
5,Ixodes scapularis,0.8660305343511451,0.0945896492940164,0.018539571261627218,100
10,Ixodes scapularis,0.907857142857143,0.049658314710796146,0.009733029683316045,100
20,Ixodes scapularis,0.9390517241379311,0.030979647945376054,0.006072010997293706,100
