sample_id,species,sex,life_stage,attached,pathogen,pathogen_result,tick_condition,dim1,dim2
635-01,Ixodes scapularis,Female,Adult,"Yes, 24+ hours",None,negative,Unfed,1.4406308,21.047274
637-01,Ixodes scapularis,Female,Adult,"Yes, less than 24 hours","Borrelia burgdorferii s.s., Borrelia miyamotoi",Positive,Unfed,4.6698155,26.791744
639-01,Ixodes scapularis,Female,Adult,"Yes, unknown length of time",None,negative,Engorged,2.6149995,21.86736
640-01,Ixodes scapularis,Female,Adult,"Yes, less than 24 hours",None,negative,Unfed,1.9011731,19.614264
641-01,Ixodes scapularis,Female,Adult,"Yes, unknown length of time",None,negative,Engorged,1.9528974,20.810562
643-01,Ixodes scapularis,Female,Adult,"Yes, 24+ hours",None,negative,Fed,4.493142,14.242352
643-02,Ixodes scapularis,Female,Adult,"Yes, 24+ hours",None,negative,Undetermined,1.4500742,18.605774
65-01,Ixodes scapularis,Female,Adult,Unknown,None,negative,Undetermined,6.962123,44.670605
65-02,Ixodes scapularis,Female,Adult,Unknown,Borrelia burgdorferi s.l.,Positive,Undetermined,5.9182715,44.26608
65-03,Ixodes scapularis,Female,Adult,Unknown,None,negative,Fed,5.3142257,44.876045
65-04,Ixodes scapularis,Female,Adult,Unknown,None,negative,Undetermined,4.597883,43.410374
65-05,Ixodes scapularis,Female,Adult,Unknown,None,negative,Undetermined,6.777593,45.537537
65-06,Ixodes scapularis,Female,Adult,Unknown,Borrelia burgdorferi s.l.,Positive,Fed,6.090928,43.805912
65-07,Ixodes scapularis,Female,Adult,Unknown,Borrelia burgdorferi s.l.,Positive,Fed,5.1928225,43.915306
65-08,Ixodes scapularis,Female,Adult,Unknown,Borrelia burgdorferi s.l.,Positive,Fed,9.139382,45.149837
65-09,Ixodes scapularis,Male,Adult,Unknown,Borrelia burgdorferi s.l.,Positive,Undetermined,2.9733548,41.55406
65-10,Ixodes scapularis,Male,Adult,Unknown,None,negative,Fed,3.661534,42.666306
66-01,Dermacentor variabilis,Female,Adult,Unknown,None,negative,Fed,-10.62725,-25.120226
66-02,Dermacentor variabilis,Female,Adult,Unknown,None,negative,Fed,-12.406809,-25.00513
66-03,Dermacentor variabilis,Female,Adult,Unknown,None,negative,Fed,-13.634204,-24.508968
66-04,Dermacentor variabilis,Female,Adult,Unknown,None,negative,Fed,-10.710038,-24.697233
66-05,Dermacentor variabilis,Female,Adult,Unknown,None,negative,Fed,-13.754637,-24.924236
66-06,Dermacentor variabilis,Female,Adult,Unknown,None,negative,Fed,-13.38007,-23.785082
66-07,Dermacentor variabilis,Male,Adult,Unknown,None,negative,Engorged,-11.418599,-22.167942
66-08,Dermacentor variabilis,Female,Adult,Unknown,None,negative,Fed,-12.1777525,-25.814638
67-02,Amblyomma americanum,Female,Adult,Unknown,None,negative,Undetermined,13.920885,1.8473479
68-01,Ixodes scapularis,Female,Adult,Unknown,Borrelia burgdorferi s.l.,Positive,Fed,8.043773,41.142174
68-02,Ixodes scapularis,Female,Adult,Unknown,Borrelia burgdorferi s.l.,Positive,Engorged,7.4123683,43.25891
69-01,Amblyomma americanum,Unknown,Nymph,Unknown,Rickettsia amblyommatis,Positive,Fed,13.8455715,-12.819173
69-02,Amblyomma americanum,Female,Adult,Unknown,Rickettsia amblyommatis,Positive,Undetermined,10.722982,3.008248
70-01,Dermacentor variabilis,Female,Adult,Unknown,None,negative,Undetermined,-11.775916,-23.016392
97-01,Dermacentor variabilis,Male,Adult,Unknown,None,negative,Undetermined,-10.872467,-20.399635
GLN-0087-01,Dermacentor variabilis,Male,Adult,Unknown,None,negative,Undetermined,-26.893263,-6.84526
GLN-0087-02,Dermacentor variabilis,Female,Adult,Unknown,None,negative,Fed,-25.707571,3.282282
GLN-0087-03,Dermacentor variabilis,Female,Adult,Unknown,None,negative,Undetermined,-30.050167,-1.0179527
GLN-0087-04,Dermacentor variabilis,Female,Adult,Unknown,None,negative,Undetermined,-25.789444,3.344715
GLN-0087-05,Dermacentor variabilis,Female,Adult,Unknown,None,negative,Undetermined,-29.477392,-2.020331
GLN-0087-11,Haemaphysalis longicornis,Unknown,Nymph,Unknown,None,negative,Engorged,0.51710284,-2.0890648
GLN-0087-12,Haemaphysalis longicornis,Unknown,Nymph,Unknown,None,negative,Undetermined,0.6597107,-2.5066445
GLN-0087-13,Haemaphysalis longicornis,Unknown,Nymph,Unknown,None,negative,Engorged,0.803153,-2.8320296
GLN-0087-14,Haemaphysalis longicornis,Unknown,Nymph,Unknown,None,negative,Undetermined,0.94541943,-3.3680863
GLN-0087-15,Haemaphysalis longicornis,Female,Adult,Unknown,None,negative,Fed,0.9940325,-0.6809665
OPL-0098-01,Haemaphysalis longicornis,Female,Adult,Yes,None,negative,Fed,3.0364845,7.0985236
OPL-0102-01,Haemaphysalis longicornis,Female,Adult,Yes,None,negative,Undetermined,1.335136,1.8853523
OPL-0102-02,Haemaphysalis longicornis,Female,Adult,Yes,None,negative,Fed,1.2687885,1.9914304
OPL-0102-03,Haemaphysalis longicornis,Female,Adult,Yes,None,negative,Fed,2.811172,1.9142277
OPL-0102-04,Haemaphysalis longicornis,Female,Adult,Yes,Theileria orientalis,Positive,Undetermined,2.802925,1.8959861
OPL-0102-05,Haemaphysalis longicornis,Female,Adult,Yes,None,negative,Fed,8.481215,5.80165
T10129,Haemaphysalis leporispalustris,Female,Adult,"Yes, unknown length of time",None,not_tested,Undetermined,18.908575,-6.622573
T10136,Haemaphysalis leporispalustris,Male,Adult,"Yes, unknown length of time",None,not_tested,Undetermined,19.68297,-24.041666
T10154,Haemaphysalis leporispalustris,Female,Adult,No,None,not_tested,Undetermined,18.44583,-20.467506
T14496,Dermacentor variabilis,Unknown,Larva,No,None,not_tested,Undetermined,28.684486,-14.184883
T14497,Dermacentor variabilis,Unknown,Larva,No,None,not_tested,Fed,28.737518,-14.169026
T14498,Amblyomma americanum,Unknown,Larva,No,None,not_tested,Fed,30.196033,-16.784527
T14499,Amblyomma americanum,Unknown,Larva,No,None,not_tested,Fed,31.21619,-17.348978
T14511,Dermacentor variabilis,Unknown,Larva,No,None,not_tested,Engorged,26.514309,-14.560079
T14512,Dermacentor variabilis,Unknown,Larva,No,None,not_tested,Fed,25.74304,-18.48155
T14517-01,Dermacentor variabilis,Unknown,Larva,No,None,not_tested,Fed,27.152275,-18.160196
T14517-02,Dermacentor variabilis,Unknown,Larva,No,None,not_tested,Fed,27.107433,-15.348374
T14518,Amblyomma americanum,Unknown,Larva,No,None,not_tested,Undetermined,28.707302,-18.007853
T14534,Dermacentor variabilis,Unknown,Larva,No,None,not_tested,Fed,25.685642,-17.749613
T14540,Dermacentor variabilis,Unknown,Larva,No,None,not_tested,Fed,25.981678,-17.352839
T14551,Dermacentor variabilis,Unknown,Larva,No,None,not_tested,Undetermined,27.641764,-14.1157875
T14552,Amblyomma americanum,Unknown,Larva,No,None,not_tested,Fed,29.585176,-17.926624
T14578,Dermacentor variabilis,Unknown,Larva,No,None,not_tested,Undetermined,26.270468,-18.0936
T14584,Amblyomma americanum,Unknown,Larva,No,None,not_tested,Fed,30.542824,-17.165287
T14596,Amblyomma americanum,Unknown,Larva,No,None,not_tested,Undetermined,30.470564,-16.086851
T14619,Amblyomma americanum,Unknown,Nymph,No,None,not_tested,Undetermined,16.75852,-16.488602
T14620,Amblyomma americanum,Unknown,Nymph,No,None,not_tested,Fed,16.618067,-16.26296
T14621,Amblyomma americanum,Unknown,Nymph,No,None,not_tested,Fed,18.299181,-15.17843
T14622,Amblyomma americanum,Unknown,Nymph,No,None,not_tested,Fed,15.371002,-16.589582
T14623,Amblyomma americanum,Unknown,Nymph,No,None,not_tested,Fed,15.91342,-15.556024
T14660,Amblyomma americanum,Unknown,Larva,No,None,not_tested,Fed,29.822042,-15.973538
T14661,Amblyomma americanum,Unknown,Larva,No,None,not_tested,Undetermined,29.666666,-15.769696
T14666,Amblyomma americanum,Unknown,Larva,No,None,not_tested,Undetermined,28.469563,-17.093866
